1000,"[(0, 0, 1), (0, 1, 1, 48)]"
1001,"[(1, 1, 1), (0, 0, 0, 48)]"
1002,"[(1, 1, 2), (1, 0, 0, 48)]"
1003,"[(1, 1, 2), (1, 0, 1, 48)]"
1004,"[(1, 0, 2), (0, 1, 1, 48)]"
1005,"[(1, 1, 1), (0, 0, 1, 48)]"
1006,"[(1, 1, 1), (1, 0, 1, 48)]"
1009,"[(1, 0, 0), (0, 1, 1, 48)]"
1013,"[(2, 1, 2), (0, 0, 0, 48)]"
1014,"[(2, 1, 2), (1, 0, 0, 48)]"
1015,"[(1, 1, 2), (1, 0, 0, 48)]"
1016,"[(2, 0, 2), (1, 0, 1, 48)]"
1018,"[(1, 1, 1), (0, 0, 1, 48)]"
1019,"[(1, 0, 2), (0, 1, 1, 48)]"
1020,"[(2, 0, 1), (1, 1, 1, 48)]"
1021,"[(2, 0, 2), (0, 0, 0, 48)]"
1022,"[(1, 0, 1), (0, 1, 1, 48)]"
1024,"[(2, 1, 2), (0, 0, 0, 48)]"
1026,"[(1, 0, 1), (0, 1, 1, 48)]"
1027,"[(2, 1, 1), (0, 0, 0, 48)]"
1028,"[(2, 0, 2), (1, 1, 1, 48)]"
1030,"[(2, 1, 2), (1, 0, 1, 48)]"
1031,"[(1, 0, 2), (0, 1, 1, 48)]"
1032,"[(1, 0, 0), (0, 1, 1, 48)]"
1033,"[(0, 0, 2), (0, 1, 1, 48)]"
1035,"[(2, 0, 2), (1, 0, 1, 48)]"
1036,"[(2, 1, 2), (0, 0, 0, 48)]"
1037,"[(2, 1, 2), (0, 0, 0, 48)]"
1039,"[(2, 0, 1), (0, 1, 1, 48)]"
1041,"[(1, 1, 1), (0, 0, 0, 48)]"
1042,"[(2, 0, 2), (0, 1, 1, 48)]"
1044,"[(1, 0, 2), (0, 1, 1, 48)]"
1045,"[(2, 0, 2), (1, 0, 0, 48)]"
1047,"[(0, 0, 2), (0, 1, 1, 48)]"
1049,"[(1, 1, 1), (1, 0, 1, 48)]"
1050,"[(1, 0, 1), (1, 0, 1, 48)]"
1052,"[(1, 1, 1), (0, 1, 1, 48)]"
1053,"[(2, 0, 1), (0, 1, 1, 48)]"
1054,"[(2, 1, 1), (0, 0, 1, 48)]"
1055,"[(2, 1, 2), (1, 0, 1, 48)]"
1056,"[(1, 0, 2), (0, 1, 1, 48)]"
1057,"[(2, 0, 2), (0, 1, 1, 48)]"
1058,"[(1, 1, 2), (1, 0, 1, 48)]"
1059,"[(1, 0, 1), (0, 1, 1, 48)]"
1060,"[(1, 1, 1), (0, 0, 1, 48)]"
1061,"[(1, 1, 1), (0, 0, 1, 48)]"
1062,"[(1, 1, 2), (0, 0, 0, 48)]"
1063,"[(1, 0, 1), (0, 1, 1, 48)]"
1064,"[(1, 0, 1), (0, 1, 1, 48)]"
1065,"[(2, 0, 0), (1, 1, 1, 48)]"
1067,"[(1, 1, 1), (0, 0, 1, 48)]"
1069,"[(1, 0, 0), (1, 0, 1, 48)]"
