1000,"(0, 1, 1)"
1001,"(1, 0, 0)"
1002,"(1, 1, 2)"
1003,"(0, 1, 1)"
1004,"(2, 0, 2)"
1005,"(0, 1, 1)"
1006,"(2, 0, 2)"
1009,"(0, 0, 2)"
1013,"(2, 1, 1)"
1014,"(0, 1, 1)"
1015,"(0, 0, 2)"
1016,"(1, 1, 2)"
1018,"(2, 0, 2)"
1019,"(2, 1, 2)"
1020,"(0, 1, 1)"
1021,"(2, 0, 2)"
1022,"(2, 1, 1)"
1024,"(1, 0, 1)"
1026,"(1, 0, 2)"
1027,"(2, 0, 1)"
1028,"(2, 0, 2)"
1030,"(2, 1, 2)"
1031,"(2, 1, 2)"
1032,"(1, 0, 1)"
1033,"(0, 1, 2)"
1035,"(0, 1, 2)"
1036,"(2, 0, 0)"
1037,"(2, 0, 1)"
1039,"(2, 1, 2)"
1041,"(1, 1, 1)"
1042,"(0, 1, 2)"
1044,"(1, 1, 2)"
1045,"(1, 0, 2)"
1047,"(0, 0, 2)"
1049,"(0, 1, 1)"
1050,"(1, 0, 1)"
1052,"(0, 1, 1)"
1053,"(2, 0, 2)"
1054,"(2, 0, 1)"
1055,"(1, 1, 1)"
1056,"(2, 0, 2)"
1057,"(1, 1, 2)"
1058,"(0, 1, 2)"
1059,"(1, 1, 2)"
1060,"(0, 1, 2)"
1061,"(1, 0, 1)"
1062,"(0, 1, 1)"
1063,"(0, 1, 2)"
1064,"(2, 1, 1)"
1065,"(2, 0, 1)"
1067,"(0, 1, 1)"
1069,"(1, 0, 0)"
1071,"(0, 1, 2)"
1072,"(0, 1, 2)"
1073,"(1, 1, 2)"
1074,"(1, 0, 2)"
1075,"(0, 1, 2)"
1076,"(1, 1, 2)"
1077,"(2, 1, 1)"
1079,"(0, 1, 2)"
1081,"(1, 1, 2)"
1082,"(2, 0, 1)"
1083,"(1, 0, 2)"
1084,"(2, 0, 2)"
1085,"(1, 1, 1)"
1086,"(2, 1, 2)"
1087,"(0, 1, 2)"
1088,"(2, 1, 1)"
1091,"(2, 1, 2)"
1092,"(2, 0, 2)"
1093,"(0, 1, 1)"
1095,"(0, 1, 2)"
1096,"(1, 1, 2)"
1097,"(1, 0, 2)"
1098,"(1, 0, 1)"
1099,"(0, 1, 2)"
1101,"(1, 0, 0)"
1102,"(2, 0, 2)"
1105,"(2, 1, 1)"
1107,"(1, 1, 2)"
1108,"(2, 1, 2)"
1109,"(2, 0, 2)"
1110,"(0, 1, 2)"
1113,"(1, 0, 2)"
1115,"(1, 1, 2)"
1117,"(0, 1, 1)"
1118,"(2, 0, 2)"
1119,"(1, 1, 1)"
1120,"(2, 0, 0)"
1121,"(2, 1, 2)"
1122,"(0, 1, 2)"
1123,"(0, 0, 2)"
1124,"(1, 0, 2)"
1126,"(0, 0, 2)"
1128,"(0, 1, 2)"
1130,"(0, 1, 1)"
1132,"(0, 0, 2)"
1133,"(0, 1, 2)"
1136,"(2, 1, 1)"
1138,"(0, 1, 2)"
1139,"(0, 1, 2)"
1140,"(0, 1, 2)"
1141,"(0, 1, 1)"
1142,"(1, 0, 1)"
1143,"(0, 1, 2)"
1144,"(0, 0, 2)"
1146,"(2, 0, 2)"
1147,"(2, 1, 1)"
1148,"(0, 1, 1)"
1153,"(0, 1, 1)"
1154,"(2, 1, 1)"
1155,"(0, 1, 2)"
1156,"(2, 1, 2)"
1157,"(0, 1, 2)"
1160,"(1, 1, 1)"
1161,"(0, 0, 2)"
1163,"(2, 0, 2)"
1164,"(2, 0, 2)"
1165,"(1, 0, 2)"
1168,"(0, 1, 2)"
1170,"(1, 1, 2)"
1171,"(0, 1, 1)"
1172,"(1, 0, 2)"
1174,"(2, 1, 2)"
1175,"(1, 0, 2)"
1177,"(2, 1, 2)"
1178,"(0, 1, 2)"
1180,"(0, 1, 2)"
1182,"(0, 0, 2)"
1183,"(1, 0, 2)"
1184,"(2, 0, 1)"
1185,"(1, 1, 2)"
1188,"(1, 1, 2)"
1191,"(1, 0, 2)"
1195,"(0, 2, 1)"
1196,"(0, 1, 2)"
1197,"(2, 1, 1)"
1198,"(0, 1, 1)"
1199,"(1, 1, 1)"
1200,"(0, 1, 2)"
1201,"(1, 1, 2)"
1202,"(2, 1, 1)"
1203,"(2, 0, 2)"
1204,"(0, 1, 2)"
1210,"(2, 1, 1)"
1212,"(0, 1, 2)"
1214,"(0, 0, 2)"
1215,"(0, 1, 2)"
1217,"(0, 0, 2)"
1218,"(2, 0, 2)"
1219,"(2, 0, 1)"
1220,"(0, 0, 2)"
1222,"(0, 1, 2)"
1223,"(0, 1, 1)"
1224,"(0, 1, 2)"
1225,"(2, 1, 1)"
1227,"(1, 0, 2)"
1228,"(1, 0, 2)"
1229,"(0, 1, 2)"
1230,"(1, 1, 2)"
1231,"(0, 1, 2)"
1232,"(2, 1, 1)"
1233,"(1, 1, 2)"
1234,"(0, 1, 1)"
1235,"(2, 1, 1)"
1236,"(0, 1, 1)"
1239,"(2, 0, 2)"
1241,"(1, 0, 1)"
1247,"(0, 1, 2)"
1248,"(0, 1, 2)"
1249,"(0, 2, 1)"
1254,"(1, 0, 2)"
1255,"(0, 0, 2)"
1257,"(2, 0, 1)"
1258,"(2, 1, 1)"
1259,"(2, 0, 2)"
1260,"(0, 1, 2)"
1262,"(2, 0, 1)"
1263,"(0, 1, 2)"
1264,"(0, 1, 2)"
1265,"(1, 1, 1)"
1269,"(0, 1, 2)"
1270,"(0, 1, 1)"
1271,"(0, 1, 2)"
1273,"(2, 0, 2)"
1274,"(0, 1, 1)"
1276,"(0, 1, 2)"
1277,"(2, 1, 2)"
1278,"(0, 1, 2)"
1280,"(1, 0, 1)"
1281,"(1, 0, 2)"
1283,"(1, 1, 1)"
1284,"(2, 1, 2)"
1285,"(2, 0, 1)"
1286,"(2, 0, 2)"
1288,"(1, 0, 2)"
1290,"(2, 0, 2)"
1292,"(2, 0, 1)"
1293,"(2, 1, 2)"
1296,"(0, 1, 2)"
1297,"(2, 1, 1)"
1299,"(0, 1, 2)"
1300,"(0, 0, 2)"
1301,"(2, 0, 2)"
1302,"(2, 0, 1)"
1303,"(1, 1, 2)"
1304,"(2, 1, 2)"
1305,"(1, 0, 2)"
1307,"(2, 0, 1)"
1309,"(2, 0, 2)"
1312,"(2, 0, 2)"
1315,"(0, 1, 2)"
1316,"(1, 0, 2)"
1317,"(0, 0, 2)"
1318,"(0, 1, 2)"
1319,"(1, 0, 2)"
1321,"(0, 1, 2)"
1322,"(0, 1, 1)"
1324,"(0, 1, 1)"
1327,"(0, 1, 1)"
1328,"(0, 1, 1)"
1329,"(1, 0, 1)"
1330,"(1, 1, 2)"
1331,"(1, 0, 2)"
1332,"(0, 1, 2)"
1333,"(1, 0, 0)"
1334,"(1, 1, 2)"
1336,"(0, 0, 2)"
1337,"(0, 1, 1)"
1338,"(1, 1, 2)"
1339,"(0, 1, 2)"
1341,"(0, 1, 1)"
1342,"(0, 1, 1)"
1343,"(2, 0, 0)"
1345,"(2, 1, 2)"
1346,"(2, 1, 2)"
1347,"(2, 0, 2)"
1349,"(1, 0, 1)"
1350,"(1, 1, 2)"
1353,"(2, 1, 1)"
1356,"(2, 0, 0)"
1359,"(2, 1, 1)"
1360,"(0, 1, 2)"
1361,"(1, 0, 1)"
1362,"(2, 0, 1)"
1363,"(2, 0, 2)"
